sample,numero,Description,assaig,Treat,prof,tract_prof,profunditat,PROF2,Rep,Sampling,treatment,BACTOT,ITS,ITS_BACTOT,AOB,AOB_BACTOT,mcrA,mcrA_BACTOT,aprA,aprA_BACTOT
M8949,121,P1 AWD 1PROF (1-5CM) BACTERIS - 1 punt mostreig,Arròs4,AWD,B,AWD,sup,M,1,5,AWD_B_5,8.15E+09,3.29E+08,4.04E-02,4.55E+05,5.58E-05,5.28E+06,6.48E-04,1.57E+08,1.93E-02
M8950,122,P2 MSD 1PROF (1-5CM) BACTERIS,Arròs4,MSD,B,MSD,sup,M,1,5,MSD_B_5,4.77E+08,1.88E+07,3.94E-02,1.42E+04,2.98E-05,1.91E+05,4.00E-04,2.52E+07,5.29E-02
M8951,123,P3 CONV 1PROF (1-5CM) BACTERIS,Arròs4,CON,B,CON,sup,M,1,5,CON_B_5,8.98E+09,6.71E+07,7.47E-03,6.06E+05,6.75E-05,1.16E+07,1.29E-03,5.72E+08,6.36E-02
M8952,124,P4 MSD 1PROF (1-5CM) BACTERIS,Arròs4,MSD,B,MSD,sup,M,2,5,MSD_B_5,2.05E+09,1.39E+08,6.78E-02,4.24E+04,2.07E-05,1.74E+06,8.49E-04,2.10E+08,1.03E-01
M8953,125,P5 AWD 1PROF (1-5CM) BACTERIS,Arròs4,AWD,B,AWD,sup,M,2,5,AWD_B_5,6.42E+08,4.05E+07,6.31E-02,5.99E+04,9.33E-05,5.22E+05,8.13E-04,5.86E+07,9.13E-02
M8954,126,P6 CONV 1PROF (1-5CM) BACTERIS,Arròs4,CON,B,CON,sup,M,2,5,CON_B_5,7.68E+08,9.07E+07,1.18E-01,8.97E+03,1.17E-05,7.75E+05,1.01E-03,1.22E+08,1.59E-01
M8955,127,P7 MSD 1PROF (1-5CM) BACTERIS,Arròs4,MSD,B,MSD,sup,M,3,5,MSD_B_5,4.82E+08,3.77E+07,7.82E-02,1.19E+04,2.47E-05,4.68E+05,9.71E-04,2.00E+07,4.16E-02
M8956,128,P8 CONV 1PROF (1-5CM) BACTERIS,Arròs4,CON,B,CON,sup,M,3,5,CON_B_5,1.44E+07,7.40E+05,5.14E-02,7.06E+02,4.90E-05,1.13E+04,7.85E-04,5.13E+05,3.56E-02
M8957,129,P9 AWD 1PROF (1-5CM) BACTERIS,Arròs4,AWD,B,AWD,sup,M,3,5,AWD_B_5,2.95E+09,1.09E+08,3.69E-02,2.22E+05,7.53E-05,1.85E+06,6.27E-04,1.45E+08,4.90E-02
M8958,130,P10 AWD 1PROF (1-5CM) BACTERIS,Arròs4,AWD,B,AWD,sup,M,4,5,AWD_B_5,1.70E+07,5.32E+05,3.13E-02,6.09E+04,4.02E-05,6.45E+03,3.79E-04,1.44E+06,8.46E-02
M8959,131,P11 MSD 1PROF (1-5CM) BACTERIS,Arròs4,MSD,B,MSD,sup,M,4,5,MSD_B_5,6.61E+09,2.15E+08,3.25E-02,1.79E+05,2.71E-05,5.56E+06,8.41E-04,7.11E+08,1.08E-01
