Index,Sampling_date,Ref_lab,VialCodi,Exp,Plot,Chamber_opacity,Year,Month,Day,Tr1,Tr2,Rep,chamber number,Sampler,Code,Water_level_cm,Temp_soil,Rice_cover_prop,Env_temp_initial,Env_temp_final,Sample_time,Sample_hour,Sample_time_min ,CCH4_ppm,CCO2_ppm,NN2O_ppm,Chamber_temp
1,2023-06-07,P08_T0_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T0,12:38:38,0,1.29,84.4751,1.043,25.8
2,2023-06-07,P08_T1_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T1,12:52:00,10,1.4025,70.2259,1.0558,26.1
3,2023-06-07,P08_T2_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T2,13:02:00,20,1.47,57.73,1.043,26.5
4,2023-06-07,P08_T3_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T3,13:12:00,30,1.5225,46.6844,1.043,26.6
9,2023-06-07,P02_T0_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T0,11:24:30,0,1.2375,76.8345,1.679,24.9
10,2023-06-07,P02_T1_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T1,11:34:30,10,1.2375,78.515,1.3865,25.9
11,2023-06-07,P02_T2_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T2,11:44:30,20,1.335,60.326,1.2974,26.6
12,2023-06-07,P02_T3_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T3,11:54:30,30,1.3275,66.2751,1.3801,26.6
13,2023-06-07,P04_T0_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T0,12:01:38,0,1.335,91.6146,1.2847,25.8
14,2023-06-07,P04_T1_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T1,12:11:38,10,1.305,71.9752,1.2529,27.3
15,2023-06-07,P04_T2_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T2,12:21:38,20,1.2825,55.2854,1.1893,27.7
16,2023-06-07,P04_T3_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T3,12:31:38,30,1.4325,38.2957,2.1115,27.2
17,2023-06-07,P07_T0_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T0,12:38:38,0,1.2825,69.8733,1.2529,25.3
18,2023-06-07,P07_T1_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T1,12:52:00,10,1.2525,52.7352,1.1066,25.7
19,2023-06-07,P07_T2_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T2,13:02:00 PM,20,1.3425,51.7709,1.113,26.3
20,2023-06-07,P07_T3_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T3,13:08:38,30,1.305,44.2249,1.0685,27.1
25,2023-06-07,P01_T0_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T0,11:24:30,0,1.2525,82.7388,1.501,24.5
