Sample,Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,sum,Rel_ab
M8499,1,AWD_IN_T,IN_T,AWD,T,IN,P01,1,6.19771E-05,0.006197707
M8500,1,AWD_IN_B,IN_B,AWD,B,IN,P01,1,0.000340874,0.034087388
M8501,1,MSD_IN_T,IN_T,MSD,T,IN,P02,1,0.00021692,0.021691974
M8502,1,MSD_IN_B,IN_B,MSD,B,IN,P02,1,0.000433839,0.043383948
M8503,1,CON_IN_T,IN_T,CON,T,IN,P03,1,0.000371862,0.037186241
M8504,1,CON_IN_B,IN_B,CON,B,IN,P03,1,6.19771E-05,0.006197707
M8505,1,MSD_IN_T,IN_T,MSD,T,IN,P04,2,0.000278897,0.027889681
M8506,1,MSD_IN_B,IN_B,MSD,B,IN,P04,2,0.000185931,0.018593121
M8507,1,AWD_IN_T,IN_T,AWD,T,IN,P05,2,0.000247908,0.024790827
M8508,1,AWD_IN_B,IN_B,AWD,B,IN,P05,2,0.000154943,0.015494267
M8509,1,CON_IN_T,IN_T,CON,T,IN,P06,2,0.000371862,0.037186241
M8510,1,CON_IN_B,IN_B,CON,B,IN,P06,2,0.00021692,0.021691974
M8511,1,MSD_IN_T,IN_T,MSD,T,IN,P07,3,0.000309885,0.030988534
M8512,1,MSD_IN_B,IN_B,MSD,B,IN,P07,3,0.00021692,0.021691974
M8513,1,CON_IN_T,IN_T,CON,T,IN,P08,3,0.000247908,0.024790827
M8514,1,CON_IN_B,IN_B,CON,B,IN,P08,3,0.000464828,0.046482801
M8515,1,AWD_IN_T,IN_T,AWD,T,IN,P09,3,0.000588782,0.058878215
M8516,1,AWD_IN_B,IN_B,AWD,B,IN,P09,3,9.29656E-05,0.00929656
M8517,1,AWD_IN_T,IN_T,AWD,T,IN,P10,4,0.000712736,0.071273629
M8518,1,AWD_IN_B,IN_B,AWD,B,IN,P10,4,0.000464828,0.046482801
M8519,1,MSD_IN_T,IN_T,MSD,T,IN,P11,4,0.000123954,0.012395414
M8520,1,MSD_IN_B,IN_B,MSD,B,IN,P11,4,0.000340874,0.034087388
M8521,1,CON_IN_T,IN_T,CON,T,IN,P12,4,0.000340874,0.034087388
M8522,1,CON_IN_B,IN_B,CON,B,IN,P12,4,0.000154943,0.015494267
M8523,1,MSD_IN_T,IN_T,MSD,T,IN,P13,5,0.000309885,0.030988534
M8524,1,MSD_IN_B,IN_B,MSD,B,IN,P13,5,0.000526805,0.052680508
