Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,Sample,Rel_ab
1,CON_IN_T,IN_T,CON,T,IN,P03,1,M8503,0.213820886
1,CON_IN_T,IN_T,CON,T,IN,P06,2,M8509,0.198326619
1,CON_IN_T,IN_T,CON,T,IN,P08,3,M8513,0.232414007
1,CON_IN_T,IN_T,CON,T,IN,P12,4,M8521,0.167338085
1,CON_IN_T,IN_T,CON,T,IN,P15,5,M8527,0.266501394
1,CON_IN_B,IN_B,CON,B,IN,P03,1,M8504,0.136349551
1,CON_IN_B,IN_B,CON,B,IN,P06,2,M8510,0.294391075
1,CON_IN_B,IN_B,CON,B,IN,P08,3,M8514,0.198326619
1,CON_IN_B,IN_B,CON,B,IN,P12,4,M8522,0.23551286
1,CON_IN_B,IN_B,CON,B,IN,P15,5,M8528,0.297489929
1,MSD_IN_T,IN_T,MSD,T,IN,P02,1,M8501,0.251007127
1,MSD_IN_T,IN_T,MSD,T,IN,P04,2,M8505,0.136349551
1,MSD_IN_T,IN_T,MSD,T,IN,P07,3,M8511,0.229315153
1,MSD_IN_T,IN_T,MSD,T,IN,P11,4,M8519,0.130151844
1,MSD_IN_T,IN_T,MSD,T,IN,P13,5,M8523,0.247908274
1,MSD_IN_B,IN_B,MSD,B,IN,P02,1,M8502,0.173535792
1,MSD_IN_B,IN_B,MSD,B,IN,P04,2,M8506,0.189030059
1,MSD_IN_B,IN_B,MSD,B,IN,P07,3,M8512,0.195227766
1,MSD_IN_B,IN_B,MSD,B,IN,P11,4,M8520,0.192128912
1,MSD_IN_B,IN_B,MSD,B,IN,P13,5,M8524,0.179733499
1,AWD_IN_T,IN_T,AWD,T,IN,P01,1,M8499,0.204524326
1,AWD_IN_T,IN_T,AWD,T,IN,P05,2,M8507,0.179733499
1,AWD_IN_T,IN_T,AWD,T,IN,P09,3,M8515,0.2262163
1,AWD_IN_T,IN_T,AWD,T,IN,P10,4,M8517,0.306786489
1,AWD_IN_T,IN_T,AWD,T,IN,P14,5,M8525,0.297489929
1,AWD_IN_B,IN_B,AWD,B,IN,P01,1,M8500,0.09916331
