Sampling_date,Plot,Treat,Rep,Conduct_microS_cm,Temp_10_cm,pH_soil,Redox_pot,Water_temp,O2_percent,O2_mg_l,Salinity,pH_water,obs
2023-06-07,P01,AWD,1,1.18,23.7,7.9,-234,24.5,185.5,15.42,0.61,8.72,
2023-06-07,P02,MSD,1,0.99,23.2,7.3,-186,24.3,187,15.59,0.6,8.67,
2023-06-07,P03,CON,1,1.22,23.2,7.5,-187,24.5,163,13.6,0.6,8.48,
2023-06-07,P04,MSD,2,1,23.3,7.8,-187,24.2,165,13.77,0.6,8.52,
2023-06-07,P05,AWD,2,1.08,23,7.4,-182,24.2,169,14.14,0.6,8.53,
2023-06-07,P06,CON,2,1.01,23.3,7.2,-188,24.3,109,9.08,0.6,8.52,
2023-06-07,P07,MSD,3,1.45,23.1,7.6,-210,24.3,165.3,13.8,0.6,8.47,
2023-06-07,P08,CON,3,1.05,22.7,7.4,-101,24.4,180,14.97,0.6,8.46,
2023-06-07,P09,AWD,3,1.13,23.3,7.7,-205,24.4,154,12.8,0.6,8.47,
2023-06-07,P10,AWD,4,0.97,23.1,7.7,-175,24.2,167,13.97,0.6,8.48,
2023-06-07,P11,MSD,4,1.11,23,7.8,-124,24.7,169,14,0.6,8.39,
2023-06-07,P12,CON,4,1.22,22.9,7.4,-175,24.4,186,15.58,0.6,8.4,
2023-06-07,P13,MSD,5,,,,,,,,,,No se hizo fisicoquímica
2023-06-07,P14,AWD,5,,,,,,,,,,No se hizo fisicoquímica
2023-06-07,P15,CON,5,,,,,,,,,,No se hizo fisicoquímica
2023-06-15,P01,AWD,1,1.25,24.5,7.9,-90.7,,,,,,
2023-06-15,P02,MSD,1,0.95,23.8,7.6,-255.8,24.5,97.4,7.95,0.65,8.43,
2023-06-15,P03,CON,1,1.11,23.5,7.6,-287.5,24.8,77.4,6.25,0.64,8.19,
2023-06-15,P04,MSD,2,0.89,23.8,7.3,-172.6,23.1,42.5,3.51,0.64,7.86,
2023-06-15,P05,AWD,2,1.1,23.4,7.8,-165.8,,,,,,
2023-06-15,P06,CON,2,0.99,24,7.5,-177.6,24.2,66.8,5.53,0.64,8.22,
2023-06-15,P07,MSD,3,1.38,23.3,7.5,-208.1,24.6,61.6,5.08,0.63,8.09,
2023-06-15,P08,CON,3,0.92,23.6,8.1,-241.6,24.3,67.2,5.59,0.63,8.2,
2023-06-15,P09,AWD,3,0.96,23.4,7.7,-157.8,,,,,,
2023-06-15,P10,AWD,4,1.03,23.5,7.8,-159.1,,,,,,
2023-06-15,P11,MSD,4,1.21,23.3,7.9,-191.5,25.3,74.5,6.08,0.64,8.19,
2023-06-15,P12,CON,4,0.96,23.1,7.8,-194.5,24.1,66.6,5.57,0.64,8.12,
2023-06-15,P13,MSD,5,1.14,23.4,7.5,-188.3,25.3,61.7,5.05,0.62,8.07,
