Date,Plot,Rep,Treat,Pipe_h,Water_h,Water_level_cm,Obs,,,
2023-05-24,P01,1,AWD,40,34,6,,,,
2023-05-24,P02,1,MSD,48,40.5,7.5,,,,
2023-05-24,P04,2,MSD,46,40,6,,,,
2023-05-24,P05,2,AWD,39,28,11,,,,
2023-05-24,P07,3,MSD,42,40,2,,,,
2023-05-24,P09,3,AWD,41,35,6,,,,
2023-05-24,P10,4,AWD,45,37,8,,,,
2023-05-24,P11,4,MSD,43,32,11,,,,
2023-05-24,P13,5,MSD,44.75,NA,,Cap stucked. Average from plots of same treat is assumed,,,
2023-05-24,P14,5,AWD,41.25,NA,,Cap stucked. Average from plots of same treat is assumed,,,
2023-05-30,P01,1,AWD,40,36,4,,,,
2023-05-30,P02,1,MSD,47,42,5,,,,
2023-05-30,P04,2,MSD,45.5,39.5,6,,,,
2023-05-30,P05,2,AWD,34.5,30,4.5,,,,
2023-05-30,P07,3,MSD,42,39,3,,,,
2023-05-30,P09,3,AWD,42,38,4,,,,
2023-05-30,P10,4,AWD,44,38,6,,,,
2023-05-30,P11,4,MSD,39.5,36,3.5,,,,
2023-05-30,P13,5,MSD,41.5,39,2.5,,,,
2023-05-30,P14,5,AWD,35,30,5,,,,
2023-06-01,P01,1,AWD,40,38.5,1.5,,,,
2023-06-01,P02,1,MSD,46,43.5,2.5,,,,
2023-06-01,P04,2,MSD,45,41,4,,,,
2023-06-01,P05,2,AWD,34,32,2,,,,
2023-06-01,P07,3,MSD,40,40,0,,,,
2023-06-01,P09,3,AWD,40,40,0,,,,
2023-06-01,P10,4,AWD,42,40,2,,,,
2023-06-01,P11,4,MSD,38.5,39,-0.5,,,,
2023-06-01,P13,5,MSD,44,42,2,,,,
2023-06-01,P14,5,AWD,35,32,3,,,,
2023-06-05,P01,1,AWD,40,22,18,10.00h,,,
2023-06-05,P02,1,MSD,47.5,31,16.5,,,,
2023-06-05,P04,2,MSD,45,30,15,,,,
2023-06-05,P05,2,AWD,36,18.5,17.5,,,,
2023-06-05,P07,3,MSD,42,27.5,14.5,,,,
2023-06-05,P09,3,AWD,40,28,12,,,,
2023-06-05,P10,4,AWD,42,29,13,,,,
2023-06-05,P11,4,MSD,40,26.5,13.5,,,,
2023-06-05,P13,5,MSD,45,30,15,,,,
2023-06-05,P14,5,AWD,35.5,20,15.5,,,,
2023-06-08,P01,1,AWD,41,31.5,9.5,"Se corta el agua en AWD, inicio 1r ciclo drenaje. Fumerals permanecen subidos",,,
2023-06-08,P02,1,MSD,47,36,11,,,,
2023-06-08,P04,2,MSD,45,33,12,,,,
2023-06-08,P05,2,AWD,36,22,14,,,,
2023-06-08,P07,3,MSD,41.5,32,9.5,,,,
2023-06-08,P09,3,AWD,42,29,13,,,,
2023-06-08,P10,4,AWD,43.5,31.5,12,,,,
2023-06-08,P11,4,MSD,40,28,12,,,,
2023-06-08,P13,5,MSD,45.5,31.5,14,,,,
2023-06-08,P14,5,AWD,35,25,10,,,,
2023-06-09,P01,1,AWD,40,33,7,10.30h,,,
2023-06-09,P02,1,MSD,46,31,15,,,,
2023-06-09,P04,2,MSD,45,29,16,,,,
2023-06-09,P05,2,AWD,34,26,8,,,,
2023-06-09,P07,3,MSD,41.5,27.5,14,,,,
2023-06-09,P09,3,AWD,41,33,8,,,,
2023-06-09,P10,4,AWD,42,36,6,,,,
2023-06-09,P11,4,MSD,40,24,16,,,,
2023-06-09,P13,5,MSD,43,28,15,,,,
2023-06-09,P14,5,AWD,35,29,6,,,,
2023-06-12,P01,1,AWD,40,37.5,2.5,7.30h,,,
2023-06-12,P02,1,MSD,46,37,9,Fumerals AWD bajados a las 10.30h,,,
2023-06-12,P04,2,MSD,47,35,12,,,,
2023-06-12,P05,2,AWD,35,30.5,4.5,,,,
2023-06-12,P07,3,MSD,42,33.5,8.5,,,,
2023-06-12,P09,3,AWD,41,37.5,3.5,,,,
2023-06-12,P10,4,AWD,42.5,39,3.5,,,,
2023-06-12,P11,4,MSD,40,32,8,,,,
2023-06-12,P13,5,MSD,42,33,9,,,,
2023-06-12,P14,5,AWD,35,32.5,2.5,,,,
2023-06-12,P01,1,AWD,38.5,39.5,-1,13.30h,,,
2023-06-12,P02,1,MSD,46,37,9,,,,
2023-06-12,P04,2,MSD,47,35,12,,,,
2023-06-12,P05,2,AWD,34,33,1,,,,
2023-06-12,P07,3,MSD,42,33.5,8.5,,,,
2023-06-12,P09,3,AWD,39.5,39,0.5,,,,
2023-06-12,P10,4,AWD,42,41,1,,,,
2023-06-12,P11,4,MSD,40,32,8,,,,
2023-06-12,P13,5,MSD,42,33,9,,,,
2023-06-12,P14,5,AWD,35,35,0,,,,
2023-06-13,P01,1,AWD,39,41,-2,9.40h,,,
2023-06-13,P02,1,MSD,46,39,7,La noche del 12/6 llovió,,,
2023-06-13,P04,2,MSD,46,37.5,8.5,,,,
2023-06-13,P05,2,AWD,34,35,-1,,,,
2023-06-13,P07,3,MSD,42,35,7,,,,
2023-06-13,P09,3,AWD,40,41.5,-1.5,,,,
2023-06-13,P10,4,AWD,42,43.5,-1.5,,,,
2023-06-13,P11,4,MSD,39,33.5,5.5,,,,
2023-06-13,P13,5,MSD,42,35,7,,,,
2023-06-13,P14,5,AWD,35,37,-2,,,,
2023-06-14,P01,1,AWD,39,45.5,-6.5,11.00h,,,
2023-06-14,P02,1,MSD,45.5,40.5,5,La noche del 13/6 llovió,,,
2023-06-14,P04,2,MSD,45,39,6,,,,
2023-06-14,P05,2,AWD,33.5,38.5,-5,,,,
2023-06-14,P07,3,MSD,40.5,36.5,4,,,,
2023-06-14,P09,3,AWD,40,45,-5,,,,
2023-06-14,P10,4,AWD,43,48,-5,,,,
2023-06-14,P11,4,MSD,39.5,35.5,4,,,,
2023-06-14,P13,5,MSD,42,36.5,5.5,,,,
2023-06-14,P14,5,AWD,36,39.5,-3.5,,,,
2023-06-15,P01,1,AWD,39,55,-16,13.30h,,,
2023-06-15,P02,1,MSD,46,34,12,,,,
2023-06-15,P04,2,MSD,46,31,15,,,,
2023-06-15,P05,2,AWD,34,45,-11,,,,
2023-06-15,P07,3,MSD,42.5,31,11.5,,,,
2023-06-15,P09,3,AWD,40,54,-14,,,,
2023-06-15,P10,4,AWD,42,53,-11,,,,
2023-06-15,P11,4,MSD,39.5,28,11.5,,,,
2023-06-15,P13,5,MSD,42,31.5,10.5,,,,
2023-06-15,P14,5,AWD,35,48,-13,,,,
2023-06-16,P01,1,AWD,39,55.5,-16.5,7.30h,,,
2023-06-16,P02,1,MSD,47,33.5,13.5,"Las AWD han subido de nivel, sin lluvia ni riego; Desagues llenos. Rechinfle?",,,
2023-06-16,P04,2,MSD,42.5,30,12.5,,,,
2023-06-16,P05,2,AWD,34.5,42,-7.5,,,,
2023-06-16,P07,3,MSD,42.5,27,15.5,,,,
2023-06-16,P09,3,AWD,40.5,53,-12.5,,,,
2023-06-16,P10,4,AWD,42.5,50,-7.5,,,,
2023-06-16,P11,4,MSD,39,23,16,,,,
2023-06-16,P13,5,MSD,42,28.5,13.5,,,,
2023-06-16,P14,5,AWD,36,46.5,-10.5,,,,
2023-06-16,P01,1,AWD,39,29,10,13.00h,,,
2023-06-16,P02,1,MSD,47,33.5,13.5,Valoración ficticia para observar el punto de reinundación de las AWD al llegar a 10 cm,,,
2023-06-16,P04,2,MSD,42.5,30,12.5,"Se bajan fumerales a las 13h, comienzo 2º ciclo drenaje",,,
2023-06-16,P05,2,AWD,34.5,24.5,10,,,,
2023-06-16,P07,3,MSD,42.5,27,15.5,,,,
2023-06-16,P09,3,AWD,40.5,30.5,10,,,,
2023-06-16,P10,4,AWD,42.5,32.5,10,,,,
2023-06-16,P11,4,MSD,39,23,16,,,,
2023-06-16,P13,5,MSD,42,28.5,13.5,,,,
2023-06-16,P14,5,AWD,36,26,10,,,,
2023-06-19,P01,1,AWD,39,56,-17,7.00h,,,
2023-06-19,P02,1,MSD,47,37.5,9.5,,,,
2023-06-19,P04,2,MSD,46,34,12,,,,
2023-06-19,P05,2,AWD,33.5,44,-10.5,,,,
2023-06-19,P07,3,MSD,42,29,13,,,,
2023-06-19,P09,3,AWD,40,53.5,-13.5,,,,
2023-06-19,P10,4,AWD,42,50.5,-8.5,,,,
2023-06-19,P11,4,MSD,39.5,35.5,4,,,,
2023-06-19,P13,5,MSD,42,30.5,11.5,,,,
2023-06-19,P14,5,AWD,35,46.5,-11.5,,,,
2023-06-19,P01,1,AWD,39,57.5,-18.5,13.30h,,,
2023-06-19,P02,1,MSD,47,37.5,9.5,,,,
2023-06-19,P04,2,MSD,46,34,12,,,,
2023-06-19,P05,2,AWD,34,45.5,-11.5,,,,
2023-06-19,P07,3,MSD,42,29,13,,,,
2023-06-19,P09,3,AWD,40.5,54.5,-14,,,,
2023-06-19,P10,4,AWD,43,52.5,-9.5,,,,
2023-06-19,P11,4,MSD,39.5,35.5,4,,,,
2023-06-19,P13,5,MSD,42,30.5,11.5,,,,
2023-06-19,P14,5,AWD,36,48,-12,,,,
2023-06-20,P01,1,AWD,39,55.5,-16.5,7.00h,,,
2023-06-20,P02,1,MSD,47,37,10,Después de hacer piezom. se reinundan AWD (Fin 2º ciclo drenaje). ,,,
2023-06-20,P04,2,MSD,46.5,34,12.5,,,,
2023-06-20,P05,2,AWD,33.5,45,-11.5,,,,
2023-06-20,P07,3,MSD,42,29,13,,,,
2023-06-20,P09,3,AWD,40.5,55,-14.5,,,,
2023-06-20,P10,4,AWD,42,51.5,-9.5,,,,
2023-06-20,P11,4,MSD,39,35,4,,,,
2023-06-20,P13,5,MSD,42,30.5,11.5,,,,
2023-06-20,P14,5,AWD,35.5,46.5,-11,,,,
2023-06-21,P01,1,AWD,39,28.5,10.5,,,,
2023-06-21,P02,1,MSD,47,33.5,13.5,,,,
2023-06-21,P04,2,MSD,47,29,18,,,,
2023-06-21,P05,2,AWD,34,21,13,,,,
2023-06-21,P07,3,MSD,41,26,15,,,,
2023-06-21,P09,3,AWD,40.5,27,13.5,,,,
2023-06-21,P10,4,AWD,43,28,15,,,,
2023-06-21,P11,4,MSD,39,23,16,,,,
2023-06-21,P13,5,MSD,42,28.5,13.5,,,,
2023-06-21,P14,5,AWD,36,18.5,17.5,,,,
2023-06-22,P01,1,AWD,39,31,8,Aprovechando el cierre de canal comienza el drenaje de AWD y MSD,,,
2023-06-22,P02,1,MSD,46,35.5,10.5,No se han bajado los fumerals todavia,,,
2023-06-22,P04,2,MSD,46,31.5,14.5,,,,
2023-06-22,P05,2,AWD,35,23.5,11.5,,,,
2023-06-22,P07,3,MSD,42,28.5,13.5,,,,
2023-06-22,P09,3,AWD,40,28.5,11.5,,,,
2023-06-22,P10,4,AWD,42,29.5,12.5,,,,
2023-06-22,P11,4,MSD,40,27,13,,,,
2023-06-22,P13,5,MSD,42,30.5,11.5,,,,
2023-06-22,P14,5,AWD,35,19.5,15.5,,,,
2023-06-23,P01,1,AWD,39,34,5,12.00h,,,
2023-06-23,P02,1,MSD,47,41,6,,,,
2023-06-23,P04,2,MSD,46,36,10,,,,
2023-06-23,P05,2,AWD,34,28,6,,,,
2023-06-23,P07,3,MSD,42,32,10,,,,
2023-06-23,P09,3,AWD,40,32.5,7.5,,,,
2023-06-23,P10,4,AWD,40,37,3,,,,
2023-06-23,P11,4,MSD,43,36,7,,,,
2023-06-23,P13,5,MSD,43,36,7,,,,
2023-06-23,P14,5,AWD,35,29.5,5.5,,,,
2023-06-26,P01,1,AWD,39,51,-12,"13.15h    Conv han bajado por calor, estimación visual:",,,
2023-06-26,P02,1,MSD,46,58.5,-12.5,,,,
2023-06-26,P04,2,MSD,45,45,0,,,,
2023-06-26,P05,2,AWD,34,39,-5,,,,
2023-06-26,P07,3,MSD,42,40.5,1.5,,,,
2023-06-26,P09,3,AWD,40,47.5,-7.5,,,,
2023-06-26,P10,4,AWD,42,53,-11,,,,
2023-06-26,P11,4,MSD,39.5,57,-17.5,,,,
2023-06-26,P13,5,MSD,42,49.5,-7.5,,,,
2023-06-26,P14,5,AWD,35,47.5,-12.5,,,,
2023-06-27,P01,1,AWD,38,57.5,-19.5,13.00h,,,
2023-06-27,P02,1,MSD,47,61,-14,Se terminaron de drenar las Conv para hacer tratamiento herbicida mañana (28/6/23),,,
2023-06-27,P04,2,MSD,46.5,52,-5.5,,,,
2023-06-27,P05,2,AWD,34,48.5,-14.5,,,,
2023-06-27,P07,3,MSD,41,47,-6,,,,
2023-06-27,P09,3,AWD,40,58,-18,,,,
2023-06-27,P10,4,AWD,42,58,-16,,,,
2023-06-27,P11,4,MSD,39,62,-23,,,,
2023-06-27,P13,5,MSD,42,58,-16,,,,
2023-06-27,P14,5,AWD,35,53,-18,,,,
2023-06-29,P01,1,AWD,39,30.5,8.5,12.40h     Reinundacion Conv y AWD esta mañana,,,
2023-06-29,P02,1,MSD,46,62,-16,,,,
2023-06-29,P04,2,MSD,45,62.5,-17.5,,,,
2023-06-29,P05,2,AWD,34,29,5,,,,
2023-06-29,P07,3,MSD,42,59,-17,,,,
2023-06-29,P09,3,AWD,40,36,4,,,,
2023-06-29,P10,4,AWD,42,35.5,6.5,,,,
2023-06-29,P11,4,MSD,40,67,-27,,,,
2023-06-29,P13,5,MSD,43,68,-25,,,,
2023-06-29,P14,5,AWD,35,30,5,,,,
2023-06-30,P01,1,AWD,39,35.5,3.5,12.30h,,,
2023-06-30,P02,1,MSD,46,60.5,-14.5,,,,
2023-06-30,P04,2,MSD,45,58.5,-13.5,,,,
2023-06-30,P05,2,AWD,35,30,5,,,,
2023-06-30,P07,3,MSD,42,53,-11,,,,
2023-06-30,P09,3,AWD,40,38,2,,,,
2023-06-30,P10,4,AWD,42,39.5,2.5,,,,
2023-06-30,P11,4,MSD,40,59,-19,,,,
2023-06-30,P13,5,MSD,43,57.5,-14.5,,,,
2023-06-30,P14,5,AWD,35,39,-4,,,,
2023-07-03,P01,1,AWD,38,53.5,-15.5,,,,
2023-07-03,P02,1,MSD,46,56,-10,,,,
2023-07-03,P04,2,MSD,45,59,-14,,,,
2023-07-03,P05,2,AWD,34,41,-7,,,,
2023-07-03,P07,3,MSD,41,55,-14,,,,
2023-07-03,P09,3,AWD,40,55,-15,,,,
2023-07-03,P10,4,AWD,42,51,-9,,,,
2023-07-03,P11,4,MSD,40,64,-24,,,,
2023-07-03,P13,5,MSD,43,59,-16,,,,
2023-07-03,P14,5,AWD,35.5,48.5,-13,,,,
2023-07-04,P01,1,AWD,39,27.5,11.5,,,,
2023-07-04,P02,1,MSD,46.5,34,12.5,,,,
2023-07-04,P04,2,MSD,45.5,31,14.5,,,,
2023-07-04,P05,2,AWD,34,19,15,,,,
2023-07-04,P07,3,MSD,42,27,15,,,,
2023-07-04,P09,3,AWD,40.5,27,13.5,,,,
2023-07-04,P10,4,AWD,42,28.5,13.5,,,,
2023-07-04,P11,4,MSD,41,25,16,,,,
2023-07-04,P13,5,MSD,43,27,16,,,,
2023-07-04,P14,5,AWD,35,19,16,,,,
2023-07-05,P01,1,AWD,39,27,12,7.40h,,,
2023-07-05,P02,1,MSD,47.5,34,13.5,,,,
2023-07-05,P04,2,MSD,47,30,17,,,,
2023-07-05,P05,2,AWD,35,19,16,,,,
2023-07-05,P07,3,MSD,41.5,26.5,15,,,,
2023-07-05,P09,3,AWD,40,26.5,13.5,,,,
2023-07-05,P10,4,AWD,42.5,28.5,14,,,,
2023-07-05,P11,4,MSD,40,24.5,15.5,,,,
2023-07-05,P13,5,MSD,42,27.5,14.5,,,,
2023-07-05,P14,5,AWD,35.5,18.5,17,,,,
2023-07-06,P01,1,AWD,38.5,28,10.5,11.30h,,,
2023-07-06,P02,1,MSD,47.5,33,14.5,,,,
2023-07-06,P04,2,MSD,48,33,15,,,,
2023-07-06,P05,2,AWD,35,20.5,14.5,,,,
2023-07-06,P07,3,MSD,41.5,28,13.5,,,,
2023-07-06,P09,3,AWD,40,27,13,,,,
2023-07-06,P10,4,AWD,42.5,28.5,14,,,,
2023-07-06,P11,4,MSD,40,25,15,,,,
2023-07-06,P13,5,MSD,43,27,16,,,,
2023-07-06,P14,5,AWD,36,19,17,,,,
2023-07-07,P01,1,AWD,38.5,29.5,9,,,,
2023-07-07,P02,1,MSD,47.5,34.5,13,,,,
2023-07-07,P04,2,MSD,48,33.5,14.5,,,,
2023-07-07,P05,2,AWD,34,22,12,,,,
2023-07-07,P07,3,MSD,42,30,12,,,,
2023-07-07,P09,3,AWD,40,30.5,9.5,,,,
2023-07-07,P10,4,AWD,42,29.5,12.5,,,,
2023-07-07,P11,4,MSD,40,28,12,,,,
2023-07-07,P13,5,MSD,42,29.5,12.5,,,,
2023-07-07,P14,5,AWD,36,20.5,15.5,,,,
2023-07-10,P01,1,AWD,39,32.5,6.5,,,,
2023-07-10,P02,1,MSD,47,38,9,,,,
2023-07-10,P04,2,MSD,48,36,12,,,,
2023-07-10,P05,2,AWD,34,26,8,,,,
2023-07-10,P07,3,MSD,41.5,33,8.5,,,,
2023-07-10,P09,3,AWD,40.5,33,7.5,,,,
2023-07-10,P10,4,AWD,42,32,10,,,,
2023-07-10,P11,4,MSD,40,31,9,,,,
2023-07-10,P13,5,MSD,43,33,10,,,,
2023-07-10,P14,5,AWD,36,23,13,,,,
2023-07-11,P01,1,AWD,39,32,7,,,,
2023-07-11,P02,1,MSD,46,37,9,,,,
2023-07-11,P04,2,MSD,46.5,35,11.5,,,,
2023-07-11,P05,2,AWD,35,24,11,,,,
2023-07-11,P07,3,MSD,42,29.5,12.5,,,,
2023-07-11,P09,3,AWD,41,32,9,,,,
2023-07-11,P10,4,AWD,42,32,10,,,,
2023-07-11,P11,4,MSD,40.5,29,11.5,,,,
2023-07-11,P13,5,MSD,43,34,9,,,,
2023-07-11,P14,5,AWD,35,23.5,11.5,,,,
2023-07-13,P01,1,AWD,39,28,11,,,,
2023-07-13,P02,1,MSD,47,34,13,,,,
2023-07-13,P04,2,MSD,46,30.5,15.5,,,,
2023-07-13,P05,2,AWD,34,20,14,,,,
2023-07-13,P07,3,MSD,42,27.5,14.5,,,,
2023-07-13,P09,3,AWD,41,27.5,13.5,,,,
2023-07-13,P10,4,AWD,42,30.5,11.5,,,,
2023-07-13,P11,4,MSD,41,25.5,15.5,,,,
2023-07-13,P13,5,MSD,43,29,14,,,,
2023-07-13,P14,5,AWD,35,19.5,15.5,,,,
2023-07-17,P01,1,AWD,36.5,27,9.5,11.45h,,,
2023-07-17,P02,1,MSD,45,35,10,,,,
2023-07-17,P04,2,MSD,46,30.5,15.5,,,,
2023-07-17,P05,2,AWD,33.5,19,14.5,,,,
2023-07-17,P07,3,MSD,41,27.5,13.5,,,,
2023-07-17,P09,3,AWD,40,29,11,,,,
2023-07-17,P10,4,AWD,41.5,29.5,12,,,,
2023-07-17,P11,4,MSD,39,36.5,2.5,,,,
2023-07-17,P13,5,MSD,42,29,13,,,,
2023-07-17,P14,5,AWD,35,19,16,,,,
2023-07-20,P01,1,AWD,39,30,9,,,,
2023-07-20,P02,1,MSD,46,36.5,9.5,,,,
2023-07-20,P04,2,MSD,46.5,34,12.5,,,,
2023-07-20,P05,2,AWD,34,23,11,,,,
2023-07-20,P07,3,MSD,41,30,11,,,,
2023-07-20,P09,3,AWD,39,28,11,,,,
2023-07-20,P10,4,AWD,42,30,12,,,,
2023-07-20,P11,4,MSD,39.5,26,13.5,,,,
2023-07-20,P13,5,MSD,42.5,28.5,14,,,,
2023-07-20,P14,5,AWD,35.5,22,13.5,,,,
2023-07-21,P01,1,AWD,38,32,6,,,,
2023-07-21,P02,1,MSD,46.5,39,7.5,,,,
2023-07-21,P04,2,MSD,45,37,8,,,,
2023-07-21,P05,2,AWD,37.5,25,12.5,,,,
2023-07-21,P07,3,MSD,41.5,32,9.5,,,,
2023-07-21,P09,3,AWD,39,31,8,,,,
2023-07-21,P10,4,AWD,42,33,9,,,,
2023-07-21,P11,4,MSD,39.5,39,0.5,,,,
2023-07-21,P13,5,MSD,42.5,32,10.5,,,,
2023-07-21,P14,5,AWD,36,24,12,,,,
2023-07-24,P01,1,AWD,39,35,4,,,,
2023-07-24,P02,1,MSD,47,42.5,4.5,,,,
2023-07-24,P04,2,MSD,47,42,5,,,,
2023-07-24,P05,2,AWD,34,28,6,,,,
2023-07-24,P07,3,MSD,40,35,5,,,,
2023-07-24,P09,3,AWD,41,34,7,,,,
2023-07-24,P10,4,AWD,42,37.5,4.5,,,,
2023-07-24,P11,4,MSD,40,34,6,,,,
2023-07-24,P13,5,MSD,43,36,7,,,,
2023-07-24,P14,5,AWD,35.5,29.5,6,,,,
2023-07-26,P01,1,AWD,39,32,7,12.30h,,,
2023-07-26,P02,1,MSD,46.5,32.5,14,,,,
2023-07-26,P04,2,MSD,47,29.5,17.5,,,,
2023-07-26,P05,2,AWD,34,26,8,,,,
2023-07-26,P07,3,MSD,41,26,15,,,,
2023-07-26,P09,3,AWD,40.5,42,-1.5,,,,
2023-07-26,P10,4,AWD,42,37,5,,,,
2023-07-26,P11,4,MSD,39.5,24,15.5,,,,
2023-07-26,P13,5,MSD,43,27.5,15.5,,,,
